x_fit,y_fit
5.382926657328106490e-01,3.525290726701997834e-01
5.338613044515563288e-01,3.332196436064430722e-01
5.281087659426718650e-01,3.142618137127792810e-01
5.210624450994998380e-01,2.957458644757465782e-01
5.127558981003534910e-01,2.777599730459545668e-01
5.032286826063825380e-01,2.603897923184914642e-01
4.925261693790188855e-01,2.437180430344073612e-01
4.806993262141150414e-01,2.278241198457776617e-01
4.678044752217421776e-01,2.127837132203638792e-01
4.539030246075226316e-01,1.986684489864322667e-01
4.390611762328254786e-01,1.855455472343124079e-01
4.233496103464839955e-01,1.734775021990780652e-01
4.068431489894186459e-01,1.625217846488234141e-01
3.896203996751004262e-01,1.527305681958261441e-01
3.717633810427456442e-01,1.441504808339733046e-01
3.533571322659460057e-01,1.368223828856748869e-01
3.344893080768341354e-01,1.307811724157395550e-01
3.152497613343642202e-01,1.260556190388737452e-01
2.957301151246159998e-01,1.226682269122499336e-01
2.760233264308697976e-01,1.206351275656046829e-01
2.562232434513710966e-01,1.199660030792353838e-01
