x_fit,y_fit
-2.974341957148557425e-01,8.244341269374991787e-01
-3.172553121093025785e-01,8.269174187774057661e-01
-3.371747190590650423e-01,8.284209546945389135e-01
-3.571440170348752496e-01,8.289410814460683730e-01
-3.771146852838676011e-01,8.284765352448744125e-01
-3.970381997237311111e-01,8.270284448302572811e-01
-4.168661508449518771e-01,8.246003287253627079e-01
-4.365503613346684575e-01,8.211980866879891039e-01
-4.560430031363484349e-01,8.168299853755460749e-01
-4.752967136608446941e-01,8.115066382589997129e-01
-4.942647108664845468e-01,8.052409798346034098e-01
-5.129009069285526135e-01,7.980482341960800641e-01
-5.311600202219988187e-01,7.899458780436101613e-01
-5.489976853452572803e-01,7.809535982195150439e-01
-5.663705609178665279e-01,7.710932438738027361e-01
-5.832364348899451434e-01,7.603887733758144529e-01
-5.995543271076670955e-01,7.488661961009530632e-01
-6.152845888855085210e-01,7.365535092339468015e-01
-6.303889993433373640e-01,7.234806297421986221e-01
-6.448308582742723338e-01,7.096793216845056484e-01
-6.585750753176520256e-01,6.951831190317826481e-01
-6.715882552204593958e-01,6.800272441873027596e-01
-6.838387789800213223e-01,6.642485224044475389e-01
-6.952968806708397231e-01,6.478852923098961103e-01
-7.059347197688692344e-01,6.309773127496773881e-01
-7.157264487975230072e-01,6.135656661844099968e-01
-7.246482761310304443e-01,5.956926588684763324e-01
-7.326785238025614877e-01,5.774017180556521023e-01
-7.397976801766439348e-01,5.587372864809776463e-01
-7.459884473579064812e-01,5.397447143752366339e-01
-7.512357832209412001e-01,5.204701492744399083e-01
-7.555269379591742496e-01,5.009604238920336572e-01
-7.588514850639311859e-01,4.812629423262955730e-01
-7.612013466584308663e-01,4.614255648793890163e-01
-7.625708131251476285e-01,4.414964917679543577e-01
-7.629565569788552271e-01,4.215241460077872038e-01
-7.623576409516432673e-01,4.015570557571593868e-01
-7.607755202702588537e-01,3.816437364046788572e-01
-7.582140391202450980e-01,3.618325726881655435e-01
-7.546794213054637268e-01,3.421717011309896028e-01
-7.501802551256968599e-01,3.227088930815016909e-01
-7.447274725090766712e-01,3.034914386397650210e-01
-7.383343224500384938e-01,2.845660317535976813e-01
-7.310163388173460675e-01,2.659786567631374776e-01
