timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05
1.350000000000000000e+05,-6.805115279999999700e+01,-9.011867959999999300e+01,-4.673087499999999750e+01,-3.468402100000000132e+01,-1.062577940000000183e+02,-5.476211099999999021e+01,-6.749393299999999840e+01,-7.705790500000000520e+01
1.400000000000000000e+05,-5.802964440000000934e+01,-8.241386220000001117e+01,-3.735511160000000075e+01,-2.744697199999999881e+01,-9.704128400000000454e+01,-4.396053799999999967e+01,-4.471450699999999756e+01,-7.698492099999999994e+01
1.450000000000000000e+05,-5.404270599999999547e+01,-7.252582280000000026e+01,-3.605959239999999966e+01,-3.572237200000000001e+01,-7.849049200000000326e+01,-4.153631800000000140e+01,-3.240844200000000086e+01,-8.205590599999999313e+01
1.500000000000000000e+05,-5.553501380000000154e+01,-7.577486959999998817e+01,-3.712579099999999954e+01,-2.596915700000000271e+01,-9.038428799999999796e+01,-5.360013999999999612e+01,-4.053973400000000282e+01,-6.718174999999999386e+01
1.550000000000000000e+05,-4.760246779999999944e+01,-6.523478339999999776e+01,-2.661205899999999858e+01,-1.236460399999999993e+01,-6.062711299999999426e+01,-6.371926299999999799e+01,-3.224721999999999866e+01,-6.905413900000000638e+01
1.600000000000000000e+05,-4.640380280000000113e+01,-5.875236800000000414e+01,-3.305983100000000263e+01,-2.364297799999999938e+01,-5.953971599999999853e+01,-5.332922200000000146e+01,-3.483050500000000227e+01,-6.067659300000000400e+01
1.650000000000000000e+05,-4.535934039999999356e+01,-6.220275039999999933e+01,-2.851593040000000201e+01,-1.946848999999999918e+01,-6.474950900000000331e+01,-4.257943199999999706e+01,-3.053161999999999665e+01,-6.946765100000000359e+01
1.700000000000000000e+05,-4.265826679999999982e+01,-4.809879420000000039e+01,-3.581477280000000007e+01,-3.125282500000000141e+01,-3.826765799999999729e+01,-4.746888500000000022e+01,-4.704773099999999886e+01,-4.925423500000000132e+01
1.750000000000000000e+05,-4.275823859999999854e+01,-5.202894259999999349e+01,-3.392022390500000029e+01,-2.577672700000000106e+01,-3.976564900000000335e+01,-5.594794799999999668e+01,-4.096286800000000028e+01,-5.133800099999999844e+01
1.800000000000000000e+05,-3.759791840000000462e+01,-4.856685919999999612e+01,-2.427644220000000175e+01,-1.627550700000000106e+01,-2.961039900000000102e+01,-4.251925899999999814e+01,-4.276469199999999660e+01,-5.681973500000000143e+01
1.850000000000000000e+05,-3.907892399999999355e+01,-5.646613879999999597e+01,-2.544895160000000089e+01,-1.593465099999999879e+01,-3.964070600000000155e+01,-3.980009900000000300e+01,-3.233606999999999942e+01,-6.768309399999999698e+01
1.900000000000000000e+05,-3.907931079999999469e+01,-6.168359940000000563e+01,-2.316493279999999544e+01,-1.479424799999999962e+01,-3.508811699999999689e+01,-3.635380299999999920e+01,-2.974646500000000060e+01,-7.941392100000000198e+01
1.950000000000000000e+05,-3.232574579999999997e+01,-4.878190759999999671e+01,-2.066942339999999945e+01,-1.638809200000000033e+01,-2.280266800000000060e+01,-2.496559699999999893e+01,-3.281292400000000242e+01,-6.465944799999999759e+01
2.000000000000000000e+05,-3.370786580000000043e+01,-4.220597999999999672e+01,-2.519998752000000763e+01,-1.830930299999999988e+01,-3.111192799999999892e+01,-2.915911200000000036e+01,-4.206161500000000331e+01,-4.789737099999999970e+01
