timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05
1.150000000000000000e+05,-8.593442279999999300e+01,-1.184577173600000037e+02,-4.654414959999999724e+01,-4.608338200000000029e+01,-1.315290799999999933e+02,-9.077817799999999693e+01,-1.363935710000000086e+02,-2.488790300000000144e+01
1.200000000000000000e+05,-8.915837819999998715e+01,-1.182500569999999982e+02,-4.935439960000000070e+01,-9.182344899999999654e+01,-1.338324059999999918e+02,-8.321332400000000007e+01,-1.158810120000000126e+02,-2.104169999999999874e+01
1.250000000000000000e+05,-7.475998280000000307e+01,-1.047258847999999887e+02,-4.304360060000001198e+01,-6.732809000000000310e+01,-8.298425299999999538e+01,-7.414364899999999636e+01,-1.273858950000000050e+02,-2.195802700000000129e+01
1.300000000000000000e+05,-7.009750780000000248e+01,-1.045995458000000156e+02,-3.665757920000000070e+01,-2.985908500000000032e+01,-9.455664600000000064e+01,-6.285255800000000193e+01,-1.328606660000000090e+02,-3.035858400000000046e+01
1.350000000000000000e+05,-5.307941099999999324e+01,-6.680491905499998495e+01,-3.653396632000001176e+01,-2.788937599999999861e+01,-7.114682399999999518e+01,-6.027832099999999116e+01,-6.870451099999999656e+01,-3.737802299999999889e+01
1.400000000000000000e+05,-5.152410999999999319e+01,-7.034570951499998159e+01,-2.983695639999999827e+01,-2.408268699999999995e+01,-7.539123399999999720e+01,-5.146763800000000089e+01,-8.190310599999999397e+01,-2.477588499999999883e+01
1.450000000000000000e+05,-3.719147240000000210e+01,-4.902891920000000425e+01,-2.535402559999999994e+01,-2.545418599999999998e+01,-4.454704600000000170e+01,-5.834134300000000906e+01,-3.936781799999999976e+01,-1.824696899999999999e+01
1.500000000000000000e+05,-3.739926960000000378e+01,-5.074695718000000255e+01,-2.311513820000000052e+01,-1.749924100000000138e+01,-4.926470700000000136e+01,-4.182984700000000089e+01,-5.902887199999999979e+01,-1.937368100000000126e+01
1.550000000000000000e+05,-3.299681679999999773e+01,-4.278422579999999442e+01,-2.315849580000000074e+01,-2.512853399999999837e+01,-4.316814000000000107e+01,-4.617578199999999811e+01,-3.523328500000000219e+01,-1.527834300000000134e+01
1.600000000000000000e+05,-3.592600879999999819e+01,-4.728503440000000069e+01,-2.204828140000000047e+01,-2.585801000000000016e+01,-5.490348800000000296e+01,-4.101415099999999825e+01,-4.458989400000000103e+01,-1.326450099999999921e+01
1.650000000000000000e+05,-2.684840559999999954e+01,-3.502500599999999764e+01,-1.867180520000000143e+01,-2.105298600000000064e+01,-3.674922999999999718e+01,-2.141482200000000091e+01,-4.010587400000000002e+01,-1.491911599999999893e+01
1.700000000000000000e+05,-3.405659659999999889e+01,-4.072222819999999643e+01,-2.739096500000000134e+01,-2.525080300000000122e+01,-3.772504599999999897e+01,-3.639282500000000198e+01,-4.588411200000000179e+01,-2.503019700000000114e+01
1.750000000000000000e+05,-3.327310140000000871e+01,-4.856517240000000868e+01,-2.036817079999999791e+01,-3.562488700000000108e+01,-6.201582100000000253e+01,-3.560874400000000151e+01,-1.196254300000000015e+01,-2.115351199999999920e+01
1.800000000000000000e+05,-3.069690179999999913e+01,-5.148595774999999719e+01,-1.498193039999999954e+01,-2.182636199999999960e+01,-6.957747200000000021e+01,-3.578898499999999672e+01,-1.289588999999999963e+01,-1.339579999999999949e+01
1.850000000000000000e+05,-3.565507319999998970e+01,-5.146234539999998958e+01,-2.102210922500001899e+01,-2.829094699999999918e+01,-5.641517900000000196e+01,-5.809521099999999194e+01,-1.474624499999999827e+01,-2.072778399999999976e+01
1.900000000000000000e+05,-3.259574920000000020e+01,-4.753854259999999954e+01,-1.933180420000000055e+01,-1.820523800000000136e+01,-5.468909299999999973e+01,-4.804110800000000125e+01,-1.645898100000000142e+01,-2.558432600000000079e+01
1.950000000000000000e+05,-2.713913960000000003e+01,-3.961312299999999453e+01,-1.616610354000000882e+01,-1.531751199999999891e+01,-4.971031200000000183e+01,-3.573689900000000108e+01,-2.173319499999999849e+01,-1.319777999999999984e+01
2.000000000000000000e+05,-3.103575700000000026e+01,-5.045804640000000063e+01,-1.724297019999999847e+01,-1.352843100000000121e+01,-2.984910199999999847e+01,-7.024448999999999899e+01,-2.395553500000000113e+01,-1.760122700000000151e+01
